Date,Washington,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
1/21/2020,1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-0,,,,,,,,
2/28/2020,3-0,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,,,,2-0,,,,,,,,
2/29/2020,5-1,,,,,,,,,,,,,,,,,4-1,,,,,,,,,,,,,,2-0,,,,,,,,
3/1/2020,11-3,,,,,,,,,,,,,,,,,6-2,,,,,,,,,,,,,,2-1,,,,,,,,
3/2/2020,13-3,,,,,,,,,,,,,,,,,10-2,,,,,,,,,,,,,,3-1,,,,,,,,
3/3/2020,22-4,,,,,,,,,,,,,,,,,17-3,1-0,,,,,,,,,,,,,5-1,,,,,,,,
3/4/2020,34-4,,,,,,,,,,,,,1-0,,,,26-3,1-0,,,,,,,,,,,,,7-1,,,,,,,,
3/5/2020,70-3,,,,,,,,,,,,,1-0,,,,51-3,1-0,,,,,,,,,,,,,18-1,,,,,,,,
3/6/2020,81-3,,,,,,,,,,,,,1-0,,,1-0,58-3,1-0,,,,,,,,,2-0,,,,19-1,,,,,,,,
3/7/2020,104-6,,,,,,1-0,,,,,,,1-0,,,1-0,71-5,1-0,1-0,,,,,,,,4-0,,,,27-1,,,,,,,,
3/8/2020,123-7,,,,,,1-0,,,,,,,1-0,,,1-0,83-6,1-0,1-0,,,,,,,,4-0,,,,31-1,,,,,,,,
3/9/2020,162-9,,,,,,1-0,,,,,,,1-0,,,1-0,116-8,1-0,1-0,,,,,,,,4-0,,,,37-1,,,,,,,,
3/10/2020,275-11,,,,,,1-0,,,,,,,1-0,,1-0,1-0,190-10,2-0,1-0,,,,,,,,16-0,,1-0,,60-1,,,,,,1-0,,
3/11/2020,366-12,,,,,,1-0,,,,,,,1-0,,1-0,1-0,234-10,2-0,2-0,,,,,,,,16-0,,1-0,,68-2,,,1-0,,,1-0,,
3/12/2020,457-13,,,,,,1-0,,,,,,,1-0,1-0,3-0,1-0,270-11,2-0,3-0,,,,,,,,16-0,,2-0,,108-2,,,1-0,,,1-0,,
3/13/2020,568-13,,,,,,3-0,1-0,,,,,,1-0,1-0,3-0,1-0,328-11,3-0,3-0,,,,,,,,19-0,,3-0,,133-2,,,1-0,,,2-0,,2-0
3/14/2020,642-16,,,,,,3-0,1-0,,,,,,2-0,1-0,3-0,1-0,387-14,3-0,3-0,,,,,,,,26-0,,4-0,,154-2,3-0,,3-0,,,2-0,,2-0
3/15/2020,796-16,,,,,,3-0,1-0,1-0,,,,,3-0,1-0,3-0,3-0,420-14,3-0,3-0,,,1-0,,,,,29-0,,4-0,,176-2,3-0,,3-0,,,3-0,,2-0
3/16/2020,904-24,,,,,,4-2,1-0,1-0,,,,,7-0,1-0,7-0,3-0,488-20,7-0,3-0,,1-0,1-0,,,,,38-0,,7-0,,200-2,3-0,,4-0,,,3-0,,2-0
3/17/2020,955-31,,,,2-0,,4-2,1-0,1-0,,,1-0,,7-0,1-0,14-0,3-0,518-23,7-0,3-0,1-0,1-0,1-0,1-0,,,,45-0,,9-0,,266-6,4-0,,5-0,,,6-0,,5-0
3/18/2020,1187-44,,,,2-0,,4-3,1-0,1-0,,,2-0,,8-0,1-0,16-0,4-0,562-34,9-0,4-0,1-0,1-0,1-0,1-0,,,,56-1,,14-0,,310-6,5-0,,6-0,,,7-0,,7-0
3/19/2020,1212-50,,,,2-0,,4-3,1-0,1-0,,,2-0,,8-0,1-0,17-1,4-0,693-38,9-0,4-0,1-0,1-0,1-0,1-0,,,,75-1,,14-0,,348-7,5-0,,6-0,,,7-0,,7-0
3/20/2020,1524-83,,,2-1,2-0,1-0,6-3,1-0,1-0,,,2-0,,8-1,1-0,19-0,4-0,796-67,12-0,4-0,2-0,1-0,1-0,1-0,,,,83-1,,25-0,,385-8,11-0,,6-0,,,10-1,,10-0
3/21/2020,1796-94,,,7-2,3-0,2-0,9-3,1-0,2-0,,,2-0,,11-1,1-0,19-1,4-0,934-74,15-0,4-0,4-0,2-0,1-0,1-0,,,,95-1,1-0,28-0,,447-10,16-0,,9-0,,,14-2,,13-0
3/22/2020,1996-95,,,7-2,3-0,4-0,10-3,1-0,3-0,,,3-0,,18-1,1-0,21-1,6-0,1040-75,18-0,4-0,4-0,2-0,1-0,1-0,,,,107-1,1-0,33-0,,480-10,20-0,,11-0,,,14-2,,16-0
3/23/2020,2221-110,1-0,,7-2,6-0,4-0,13-4,1-0,3-0,1-0,,3-0,,23-1,1-0,25-1,7-0,1170-87,18-0,5-0,4-0,2-0,1-0,1-0,,,,126-1,1-0,45-1,,519-11,29-0,1-0,11-0,,1-0,48-2,2-0,25-0
3/24/2020,2496-123,1-0,,12-2,6-0,4-0,16-4,1-0,3-0,2-0,,7-0,,27-1,1-0,29-1,8-0,1277-94,20-0,6-0,6-0,2-0,1-0,2-0,,,,138-1,1-0,48-1,,614-16,33-0,1-0,14-0,,2-0,64-2,2-0,44-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
